img_path,gall_mm2,prop_herb,leaf_area_mm2,month,leaf,tree,exp.round
images/segmented_processed/2022_May_isolate/tree7_20220517_leaf2.png,8.655889851,2.33E-04,1239.5521,May,2,7,1
images/segmented_processed/2022_May_isolate/tree8_20220517_leaf2.png,4.166655053,1.57E-04,1925.698933,May,2,8,1
images/segmented_processed/2022_May_isolate/tree8_20220517_leaf3.png,0,2.17E-04,2756.201995,May,3,8,1
images/segmented_processed/2022_May_isolate/tree9_20220517_leaf1.png,0,0.002581348,2191.063785,May,1,9,1
images/segmented_processed/2022_May_isolate/tree9_20220517_leaf2.png,8.801050737,0.004150225,1922.419373,May,2,9,1
images/segmented_processed/2022_May_isolate/tree9_20220517_leaf3.png,5.07883889,0.004506374,1852.010967,May,3,9,1
images/segmented_processed/2022_June_isolate/tree1_20220701_leaf1.png,53.93354142,0.001661087,2750.058643,June,1,1,2
images/segmented_processed/2022_June_isolate/tree1_20220701_leaf2.png,5.571669057,0.003892539,1588.36654,June,2,1,2
images/segmented_processed/2022_June_isolate/tree1_20220701_leaf3.png,0,3.37E-06,2661.854587,June,3,1,2
images/segmented_processed/2022_June_isolate/tree10_20220701_leaf1.png,24.35656293,6.56E-06,2185.92043,June,1,10,2
images/segmented_processed/2022_June_isolate/tree10_20220701_leaf2.png,0,1.51E-04,2110.198419,June,2,10,2
images/segmented_processed/2022_June_isolate/tree10_20220701_leaf3.png,0,7.44E-05,2698.220078,June,3,10,2
images/segmented_processed/2022_June_isolate/tree11_20220701_leaf1.png,6.915751332,0.001047277,2299.864557,June,1,11,2
images/segmented_processed/2022_June_isolate/tree11_20220701_leaf2.png,21.56804024,0.001523749,2555.706138,June,2,11,2
images/segmented_processed/2022_June_isolate/tree11_20220701_leaf3.png,10.98921668,3.60E-04,2361.925316,June,3,11,2
images/segmented_processed/2022_June_isolate/tree12_20220701_leaf1.png,5.603927032,4.72E-04,4912.56516,June,1,12,2
images/segmented_processed/2022_June_isolate/tree12_20220701_leaf2.png,0,0,2664.315154,June,2,12,2
images/segmented_processed/2022_June_isolate/tree12_20220701_leaf3.png,0,2.64E-04,2796.128407,June,3,12,2
images/segmented_processed/2022_June_isolate/tree13_20220701_leaf1.png,8.001769811,2.19E-05,2868.517094,June,1,13,2
images/segmented_processed/2022_June_isolate/tree13_20220701_leaf2.png,0,2.94E-04,2001.098365,June,2,13,2
images/segmented_processed/2022_June_isolate/tree13_20220701_leaf3.png,14.11644811,3.31E-06,2164.051316,June,3,13,2
images/segmented_processed/2022_June_isolate/tree14_20220701_leaf1.png,0,0,2061.022929,June,1,14,2
images/segmented_processed/2022_June_isolate/tree14_20220701_leaf2.png,0,2.09E-06,2567.241948,June,2,14,2
images/segmented_processed/2022_June_isolate/tree14_20220701_leaf3.png,5.369160661,3.72E-05,4042.832817,June,3,14,2
images/segmented_processed/2022_June_isolate/tree15_20220701_leaf1.png,8.931874745,2.49E-04,2971.185266,June,1,15,2
images/segmented_processed/2022_June_isolate/tree15_20220701_leaf2.png,93.4854025,0.001537746,1278.458802,June,2,15,2
images/segmented_processed/2022_June_isolate/tree15_20220701_leaf3.png,17.61823046,5.08E-04,2638.347485,June,3,15,2
images/segmented_processed/2022_June_isolate/tree16_20220701_leaf1.png,47.36366726,3.84E-04,2221.879111,June,1,16,2
images/segmented_processed/2022_June_isolate/tree16_20220701_leaf2.png,31.04471633,0,1952.098501,June,2,16,2
images/segmented_processed/2022_June_isolate/tree16_20220701_leaf3.png,7.089585973,1.57E-04,2471.976981,June,3,16,2
images/segmented_processed/2022_June_isolate/tree17_20220701_leaf1.png,6.51252665,1.17E-06,3068.980693,June,1,17,2
images/segmented_processed/2022_June_isolate/tree17_20220701_leaf2.png,0,0,2183.364882,June,2,17,2
images/segmented_processed/2022_June_isolate/tree17_20220701_leaf3.png,0,0,2548.851318,June,3,17,2
